Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Defaulter_Flag
103771,70,52,1,F,Married,28.52569444,0
179862,19,0,1,M,Married,413.9661157,1
156172,49,30,1,M,Single,396.5517713,1
160283,18,0,1,M,Single,550.0535565,1
181059,24,5,1,F,Single,768.3369443,1
125059,66,46,1,F,Single,430.2457695,1
196280,70,49,1,F,Single,57.96961012,0
108827,25,7,1,F,Single,422.6834837,1
111501,26,8,1,M,Single,298.8722661,0
192032,23,6,1,M,Single,376.1669213,1
196073,35,18,1,F,Single,428.8765231,1
172196,25,6,1,M,Single,619.623702,1
171179,65,46,1,F,Single,357.0767817,1
108405,70,50,1,F,Single,36.73113056,0
110555,26,5,1,M,Single,513.9091147,1
140775,43,22,1,M,Single,383.0935474,1
184678,18,1,1,M,Married,775.5602497,1
190636,39,18,1,M,Single,688.1633261,1
137629,20,2,1,M,Married,250.0483034,0
141654,34,13,1,F,Married,151.2591629,0
174549,69,50,1,F,Single,96.57177764,0
101976,70,53,1,F,Single,156.106545,0
125588,25,7,1,M,Single,1036.422302,1
110830,22,5,1,F,Single,465.6053779,1
101453,57,38,1,F,Married,596.5321778,1
196143,51,31,1,M,Married,514.6965606,1
146751,19,0,1,F,Married,540.6418989,1
122609,64,45,1,F,Married,35.48597259,0
128464,62,42,1,F,Single,92.7900941,0
133656,22,5,1,M,Single,655.1327292,1
107370,46,27,1,M,Single,771.279313,1
169611,56,36,1,M,Single,555.0751738,1
164381,19,2,1,M,Married,289.320228,0
101325,25,8,1,F,Married,319.7637959,1
187545,61,42,1,F,Single,380.0193648,1
140733,35,17,1,M,Single,402.9137936,1
163180,64,46,1,M,Single,217.1632874,0
165026,41,22,1,F,Single,275.294995,0
103182,66,46,1,M,Single,796.0709274,1
106285,62,43,1,M,Single,56.27149032,0
109813,46,28,1,F,Single,713.2035955,1
100018,29,10,1,M,Married,140.7946555,0
135733,65,44,1,M,Single,290.7360244,0
129730,60,39,1,M,Married,203.0429805,0
103606,41,22,1,M,Married,516.9890908,1
128663,46,26,1,F,Married,202.4587138,0
126842,41,24,1,F,Single,428.4593856,1
159663,24,6,1,F,Single,516.0790928,1
121046,62,42,1,F,Married,256.9014828,0
127128,36,15,1,F,Married,376.2971849,1
159668,24,6,1,M,Single,1070.204776,1
160863,49,28,1,M,Married,370.6966267,1
180191,20,3,1,F,Single,266.0967514,0
152361,52,31,1,F,Married,311.9191271,1
140469,21,4,1,F,Single,429.8619791,1
108018,58,39,1,M,Single,818.0944497,1
112856,36,17,1,F,Married,320.2940291,1
115581,18,0,1,F,Married,183.2307779,0
156261,21,3,1,F,Single,564.7148465,1
110157,60,43,1,F,Married,110.3300495,0
150327,63,44,1,F,Single,465.658248,1
177062,64,45,1,M,Single,172.5265908,0
179628,22,5,1,M,Married,360.8051782,1
154549,22,3,1,F,Married,837.3677817,1
174309,26,5,1,F,Married,128.8692649,0
165949,19,0,1,F,Single,484.6961144,1
143867,28,9,1,M,Married,487.8515553,1
115293,24,5,1,M,Married,989.6964115,1
124781,60,39,1,F,Single,165.9840948,0
151108,20,2,1,F,Married,166.5373225,0
134055,43,25,1,M,Married,692.538638,1
158875,23,4,1,M,Married,512.8447128,1
199635,48,27,1,M,Married,628.6211982,1
172931,40,23,1,M,Single,437.5853059,1
110664,64,44,1,M,Single,244.1284514,0
123896,23,6,1,M,Married,479.0179823,1
198927,38,21,1,M,Married,321.0614316,1
193212,19,0,1,M,Married,328.3589705,1
110085,62,42,1,M,Married,387.2442899,1
169347,23,4,1,M,Married,235.0776441,0
167213,34,13,1,F,Married,395.6067606,1
189632,64,47,1,M,Single,65.68992357,0
167717,63,42,1,M,Single,296.012821,0
160508,28,11,1,F,Married,159.3673423,0
125668,16,0,1,M,Married,476.5346165,1
166836,29,11,1,F,Single,509.0594248,1
154044,17,0,1,F,Married,351.8847284,1
183078,55,34,1,F,Married,522.9070466,1
193267,52,31,1,M,Married,314.1997614,1
112976,30,9,1,M,Single,200.7912195,0
114690,16,0,1,F,Married,303.4043979,1
117370,23,5,1,F,Single,787.7636887,1
135686,70,49,1,F,Married,99.83090559,0
173662,18,0,1,F,Married,250.2204478,0
174141,27,7,1,F,Married,488.6956097,1
117625,47,28,1,M,Married,561.796776,1
150029,18,1,1,F,Single,415.4689569,1
149512,19,2,1,F,Single,777.5951773,1
181260,27,8,1,F,Single,355.8158451,1
198494,47,28,1,M,Married,356.572264,1
161421,70,52,1,F,Single,327.935663,1
178940,53,33,1,F,Married,300.7818655,1
127336,21,2,1,M,Married,770.4316087,1
121232,43,23,1,M,Married,689.2935821,1
178596,65,44,1,F,Married,151.2848344,0
101155,30,13,1,F,Single,696.0295489,1
168264,48,30,1,M,Married,237.0227564,0
180115,16,0,1,F,Married,310.3054332,1
158172,63,46,1,M,Single,411.4934109,1
135272,40,22,1,F,Single,629.444886,1
160525,46,27,1,M,Married,393.3264183,1
100210,56,35,1,F,Married,571.9363703,1
111093,19,2,1,F,Married,282.4138477,0
136861,33,12,1,M,Single,454.822674,1
199343,57,38,1,F,Single,478.456794,1
128605,56,36,1,M,Single,193.0311549,0
164611,25,8,1,M,Married,409.9010323,1
192220,55,34,1,M,Single,509.1345942,1
191061,40,20,1,M,Single,423.7222281,1
151362,46,28,1,F,Single,344.2283454,1
187738,42,21,1,M,Married,182.4160381,0
176775,27,8,1,F,Married,161.1440266,0
159600,46,27,1,M,Married,355.735993,1
141403,25,8,1,F,Married,328.8843527,1
171452,42,24,1,M,Married,324.5803862,1
116796,64,46,1,F,Single,454.9945793,1
118790,34,14,1,M,Single,762.0191521,1
159938,64,44,1,F,Single,289.5307529,0
147703,34,16,1,F,Single,458.5579608,1
181163,37,20,1,F,Married,258.8203437,0
168461,21,3,1,M,Single,586.595506,1
171559,68,50,1,M,Married,159.269216,0
168785,26,9,1,F,Single,147.7489935,0
175417,51,34,1,F,Married,308.8097112,1
140551,69,51,1,F,Single,254.7680456,0
143561,38,20,1,M,Single,517.2833796,1
161679,64,45,1,M,Single,105.4432074,0
187609,62,44,1,F,Married,39.95489011,0
164350,70,50,1,M,Married,302.4864881,1
147658,27,9,1,F,Married,311.3847328,1
196071,24,5,1,M,Married,335.7048594,1
173780,24,6,1,F,Married,197.9280454,0
120744,70,50,1,F,Married,81.55524621,0
152233,46,28,1,F,Single,408.0924936,1
101429,61,41,1,M,Single,35.74744486,0
100994,70,53,1,M,Single,319.9288788,1
133327,51,32,1,F,Single,590.2667386,1
196564,49,31,1,F,Single,525.5303261,1
171515,34,13,1,M,Single,939.0853092,1
115864,25,7,1,M,Married,554.2015344,1
162203,24,5,1,M,Single,310.8532989,1
172979,36,15,1,F,Single,877.9333318,1
142500,20,3,1,F,Single,156.6693023,0
159595,20,1,1,F,Single,519.6358893,1
154012,70,53,1,F,Single,103.2503942,0
133980,22,4,1,M,Married,546.9662639,1
130073,61,44,1,M,Single,330.1496076,1
122265,20,2,1,M,Married,655.2242872,1
141110,21,4,1,M,Married,479.7951029,1
117962,19,0,1,F,Married,517.2311218,1
120429,66,49,1,F,Single,71.76435204,0
138510,63,44,1,M,Single,131.0544977,0
102952,51,30,1,F,Single,648.3377527,1
116550,37,17,1,M,Married,341.0717472,1
189773,16,0,1,M,Married,511.7329733,1
153902,21,4,1,M,Married,252.3853189,0
129663,23,6,1,F,Married,187.9585249,0
198193,63,44,1,F,Single,153.8388035,0
169076,63,42,1,M,Married,94.0483353,0
169427,52,32,1,M,Married,208.3574065,0
166756,30,10,1,M,Married,396.8456932,1
105539,21,4,1,F,Married,296.0244249,0
169496,63,46,1,M,Married,75.81174432,0
200391,45,27,1,F,Married,448.5662485,1
117445,61,41,1,F,Married,130.9914388,0
128507,34,16,1,M,Married,147.2741212,0
190032,16,0,1,F,Single,640.2131123,1
112590,23,5,1,M,Married,420.4922713,1
137410,25,7,1,F,Married,396.1408555,1
186036,16,0,1,M,Married,478.3520156,1
105765,30,9,1,F,Married,292.5163921,0
182237,48,29,1,F,Married,527.9214511,1
110357,17,0,1,F,Married,246.7103971,0
196401,69,49,1,M,Married,1690.44182,1
119519,28,9,1,M,Single,440.4587335,1
196503,29,9,1,F,Married,289.6606846,0
192607,24,7,1,M,Single,681.6009788,1
124865,67,48,1,F,Married,162.021823,0
194944,45,28,1,F,Single,237.9548251,0
187015,38,19,1,M,Single,726.0985559,1
165695,50,31,1,M,Single,728.5124594,1
153893,51,32,1,M,Single,445.3525652,1
167349,44,23,1,F,Single,427.1032675,1
140976,52,33,1,M,Married,264.9045348,0
185143,21,2,1,M,Married,317.4901628,1
136163,20,1,1,F,Married,356.4554345,1
125842,70,49,1,M,Single,639.261733,1
159297,60,40,1,M,Married,152.0660029,0
100408,33,15,1,M,Married,598.6892757,1
188214,16,0,1,F,Married,382.4581608,1
101548,19,2,1,M,Married,339.775025,1
107666,62,45,1,F,Married,97.0052298,0
192742,35,17,1,M,Married,167.8386883,0
127036,16,0,1,F,Single,622.0789033,1
178574,34,14,1,F,Married,196.5073839,0
148317,26,8,1,M,Single,489.774795,1
169827,23,4,1,M,Married,307.9160669,1
158864,48,31,1,F,Single,581.3363152,1
149804,33,14,1,F,Married,324.7471949,1
178723,33,15,1,M,Married,546.5349024,1
158387,57,40,1,F,Single,379.2612055,1
197918,61,41,1,F,Married,122.8351382,0
129981,70,49,1,M,Married,401.9377187,1
194863,61,40,1,M,Married,39.06923279,0
182161,24,5,1,M,Married,604.5968924,1
180475,39,21,1,M,Single,352.1776675,1
140740,52,32,1,F,Single,323.3784995,1
169171,25,7,1,M,Married,180.2839243,0
115611,67,46,1,F,Married,299.7655866,0
152972,25,6,1,M,Married,583.9925703,1
152327,56,38,1,F,Single,484.2868664,1
107571,26,8,1,M,Married,425.3481104,1
172758,63,43,1,F,Married,40.93404521,0
126567,62,42,1,F,Single,127.4005318,0
191861,52,31,1,M,Married,332.1391406,1
126307,53,35,1,M,Married,382.1779015,1
101826,34,15,1,M,Married,201.8179313,0
151310,17,0,1,M,Married,449.274253,1
196931,17,0,1,F,Married,479.4391977,1
128634,64,46,1,M,Married,206.7379713,0
161597,68,51,1,M,Single,48.10845199,0
109884,18,0,1,M,Married,333.2548377,1
169116,31,12,1,M,Single,800.6210897,1
190939,18,1,1,F,Married,181.7398301,0
185233,67,46,1,F,Married,207.5631629,0
118109,69,49,1,F,Married,44.85076261,0
160237,49,30,1,F,Single,389.6227552,1
177000,22,4,1,M,Married,456.2160705,1
189028,59,40,1,M,Single,780.2021419,1
161478,17,0,1,M,Single,852.9917769,1
188298,62,43,1,M,Married,298.1251488,0
171213,44,23,1,F,Single,517.2484855,1
101617,25,6,1,F,Single,227.3336458,0
125820,54,34,1,M,Married,395.9018181,1
150893,22,3,1,F,Single,238.1623425,0
171784,23,5,1,M,Married,623.8842385,1
157566,60,39,1,F,Single,188.1206318,0
184178,21,2,1,M,Married,544.2032325,1
117590,19,0,1,M,Single,325.562891,1
103030,24,6,1,F,Married,182.8039805,0
137592,66,47,1,F,Single,155.5223241,0
175249,31,13,1,F,Single,502.7124322,1
146920,42,25,1,M,Single,262.9411765,0
199913,37,19,1,M,Married,324.1466938,1
177817,32,12,1,F,Married,312.2857892,1
176406,56,38,1,F,Single,205.9058749,0
118396,57,39,1,F,Single,367.8672027,1
179121,67,48,1,F,Married,165.6764223,0
172178,24,5,1,M,Married,451.8458055,1
127158,55,38,1,M,Married,354.9675474,1
150804,36,17,1,M,Married,375.07503,1
196933,17,0,1,M,Single,841.6097425,1
156935,23,4,1,M,Single,565.75928,1
187466,61,42,1,M,Married,341.8587982,1
145693,48,29,1,F,Single,407.1739205,1
161277,25,6,1,F,Single,559.1451267,1
117086,16,0,1,M,Married,547.4455297,1
103922,41,21,1,M,Single,169.8042272,0
195112,21,4,1,M,Married,1066.302464,1
192661,25,8,1,F,Married,250.8077066,0
159443,55,36,1,F,Married,188.8132454,0
178402,22,3,1,F,Single,567.0537545,1
157188,19,0,1,F,Married,345.0465518,1
120132,28,11,1,M,Married,315.3474326,1
106186,21,2,1,F,Single,656.1548087,1
196429,43,22,1,F,Married,461.9718465,1
143546,45,26,1,F,Single,377.9836825,1
190872,18,0,1,M,Single,684.6526982,1
112220,19,2,1,F,Married,144.4525566,0
119068,35,16,1,F,Single,401.6252338,1
173295,63,46,1,F,Single,253.4663373,0
173811,39,20,1,M,Married,144.4791732,0
158441,16,0,1,F,Single,227.3926774,0
139945,23,4,1,M,Married,643.5273912,1
126513,17,0,1,M,Married,324.5930853,1
157712,17,0,1,M,Married,167.9065824,0
123461,20,2,1,F,Married,164.3226813,0
109839,56,35,1,F,Single,286.5238132,0
168710,26,5,1,F,Married,278.9689585,0
180764,17,0,1,M,Married,545.648712,1
193331,53,34,1,M,Single,257.7397425,0
187957,31,10,1,M,Married,268.77102,0
101592,19,1,1,F,Married,387.2362217,1
122418,26,8,1,F,Single,666.6766088,1
159787,29,12,1,F,Single,363.980308,1
171517,47,28,1,M,Married,124.3721637,0
134430,24,5,1,M,Single,727.2299234,1
173346,18,1,1,F,Married,256.8966878,0
103987,68,50,1,M,Married,96.75876211,0
124801,18,0,1,F,Married,228.6247326,0
122734,67,49,1,F,Married,117.5752762,0
132167,70,53,1,M,Single,264.2712706,0
127432,28,11,1,M,Single,836.2796454,1
104075,69,51,1,M,Single,308.9019548,1
172126,28,9,1,M,Married,183.7265292,0
179575,63,45,1,M,Married,138.3989724,0
153354,25,8,1,F,Single,671.5230097,1
191744,55,38,1,F,Single,191.0414252,0
149303,25,6,1,F,Married,445.6656637,1
186838,57,38,1,F,Married,587.121065,1
128867,16,0,1,M,Married,201.2702657,0
186334,22,4,1,F,Single,484.2131818,1
137799,50,31,1,M,Married,360.8718623,1
138395,24,5,1,M,Married,268.9314723,0
176582,45,26,1,F,Single,383.44538,1
171589,49,29,1,F,Single,418.456828,1
155642,62,45,1,M,Married,124.498519,0
165502,16,0,1,M,Single,673.1939661,1
145115,50,33,1,F,Married,292.8056952,0
190056,43,23,1,M,Married,363.9739969,1
124975,17,0,1,M,Single,703.1834416,1
122527,19,1,1,M,Married,510.3590398,1
118246,65,47,1,F,Single,41.57656736,0
172805,17,0,1,M,Married,260.2345014,0
136848,38,21,1,F,Single,385.7485614,1
127328,48,28,1,F,Married,334.7612678,1
175335,46,25,1,M,Single,274.8857402,0
191160,25,8,1,F,Married,216.4240688,0
192099,31,14,1,M,Single,405.4731829,1
113488,44,27,1,M,Single,684.9800141,1
173817,41,20,1,F,Single,150.5320913,0
132277,17,0,1,F,Single,673.3517116,1
111157,29,9,1,F,Married,218.9770126,0
171107,32,14,1,F,Single,281.440499,0
123153,61,40,1,F,Married,146.0636593,0
159367,28,8,1,F,Single,809.1460715,1
154713,17,0,1,M,Single,1023.788951,1
110871,55,34,1,F,Single,475.6477521,1
183774,20,3,1,M,Married,412.3728753,1
165214,70,53,1,M,Married,156.7486616,0
166545,46,27,1,F,Married,283.6638328,0
122212,37,19,1,F,Married,360.7519195,1
163233,65,48,1,M,Married,239.2136809,0
113034,17,0,1,F,Single,234.8382168,0
148057,35,16,1,M,Single,522.5136507,1
159268,42,23,1,F,Married,291.6776414,0
188144,25,6,1,F,Married,224.8163937,0
161064,32,12,1,F,Married,419.5637371,1
120281,26,5,1,F,Single,395.6273655,1
185498,24,7,1,M,Single,648.4970615,1
187994,18,0,1,M,Single,389.7294061,1
124482,51,32,1,M,Single,235.7394144,0
112786,47,30,1,M,Single,155.9301797,0
136578,21,4,1,F,Single,772.0719204,1
104486,20,3,1,M,Single,738.7166747,1
144713,66,48,1,F,Single,476.4294007,1
189009,65,47,1,F,Single,47.27603743,0
185162,30,12,1,F,Married,308.5713815,1
174649,24,7,1,F,Single,614.8820182,1
169584,35,18,1,M,Married,280.7923877,0
110968,17,0,1,F,Single,659.2477512,1
121408,41,22,1,F,Married,312.7213527,1
124458,41,24,1,F,Married,337.6700037,1
160770,39,22,1,F,Single,272.2594633,0
110330,16,0,1,M,Married,443.3265557,1
100128,41,20,1,F,Married,136.4526367,0
139445,28,9,1,M,Married,668.780303,1
157704,66,45,1,M,Married,36.63901131,0
177554,23,4,1,M,Married,694.5794472,1
127371,64,45,1,F,Married,318.332047,1
196535,66,47,1,M,Single,229.6906948,0
127572,25,7,1,M,Single,983.6492536,1
136937,29,11,1,M,Single,675.7091855,1
139753,64,47,1,F,Single,110.6599318,0
108007,22,5,1,F,Single,447.3969202,1
156815,69,51,1,M,Single,228.5962068,0
165686,24,5,1,F,Married,441.8763829,1
108319,18,1,1,F,Single,698.2797078,1
139548,69,48,1,M,Single,235.8586141,0
163531,19,2,1,F,Married,294.094824,0
175274,70,51,1,M,Married,345.2723201,1
106139,38,21,1,F,Single,837.4720719,1
102284,44,25,1,F,Single,340.3533667,1
139062,64,44,1,F,Single,292.0086982,0
138558,43,25,1,M,Married,398.6963317,1
113232,18,0,1,M,Single,810.3321729,1
138682,55,38,1,M,Married,356.072465,1
108361,35,17,1,F,Single,376.4717043,1
175469,70,52,1,M,Married,162.5111147,0
113056,22,5,1,F,Married,391.2488532,1
120187,26,7,1,F,Married,283.7506272,0
160257,27,7,1,M,Married,346.3474987,1
114349,32,15,1,F,Single,402.3212675,1
106020,25,7,1,M,Married,776.9765728,1
132596,55,35,1,M,Married,644.72313,1
181345,23,6,1,F,Single,385.8799478,1
189925,52,33,1,M,Married,321.4892996,1
179055,53,35,1,M,Single,435.959851,1
166104,32,11,1,F,Married,303.1333791,1
108638,53,32,1,F,Married,556.9123571,1
167470,17,0,1,F,Single,1037.373455,1
120968,20,1,1,F,Single,302.3470413,1
111755,69,52,1,M,Single,117.101737,0
140290,17,0,1,M,Single,963.5760233,1
161043,63,42,1,M,Single,95.64112278,0
167862,29,11,1,F,Married,418.6738227,1
140188,62,43,1,F,Single,342.2447597,1
130384,61,42,1,F,Married,102.3352065,0
151474,66,46,1,F,Single,41.48382202,0
124623,54,35,1,F,Married,307.3220363,1
141182,48,27,1,F,Single,686.6217767,1
105601,67,50,1,M,Single,167.0764612,0
157387,66,47,1,M,Married,550.5213257,1
179271,23,5,1,M,Single,586.5806227,1
112660,26,6,1,F,Married,338.521163,1
184700,38,20,1,M,Married,648.4727226,1
124754,69,50,1,M,Married,95.24364537,0
170986,20,2,1,M,Single,493.8180385,1
157919,21,2,1,M,Single,1020.797227,1
127745,18,1,1,M,Married,470.7737738,1
126976,34,15,1,F,Single,402.5129906,1
100647,51,33,1,M,Single,422.0508228,1
155724,23,6,1,F,Married,126.7299892,0
177507,18,0,1,M,Married,1204.444856,1
111633,60,39,1,M,Married,275.6651835,0
118001,46,26,1,F,Married,517.6533908,1
195879,64,47,1,F,Single,42.93175722,0
145321,21,2,1,M,Single,930.9972091,1
104756,22,3,1,M,Single,946.1029263,1
164893,44,25,1,F,Single,363.644134,1
159299,36,15,1,F,Single,420.0788009,1
199665,66,49,1,F,Single,78.76982783,0
126149,21,4,1,F,Single,420.898228,1
183797,64,46,1,M,Married,390.4062578,1
176667,44,26,1,M,Single,462.2550909,1
182567,47,30,1,M,Married,146.8817882,0
117930,18,0,1,M,Single,1032.461873,1
104251,40,22,1,F,Married,373.2009063,1
109501,22,4,1,M,Single,874.4650234,1
109203,24,7,1,M,Single,1491.634513,1
183180,70,52,1,F,Single,140.2225367,0
107023,61,41,1,M,Married,159.4451332,0
109970,20,3,1,M,Single,730.6043258,1
189461,22,4,1,F,Single,470.262049,1
137839,65,48,1,M,Single,234.2227558,0
114693,38,17,1,F,Single,544.5163493,1
185003,60,41,1,F,Married,285.7046838,0
154333,31,10,1,F,Married,268.5320136,0
102206,47,28,1,M,Married,359.3406363,1
185807,62,44,1,M,Married,31.83119043,0
105960,38,17,1,F,Single,425.1927224,1
111655,23,4,1,F,Single,221.8433043,0
175701,34,16,1,F,Single,229.5774269,0
119447,65,44,1,M,Single,183.8554703,0
122194,61,42,1,M,Single,495.8440724,1
182956,62,43,1,F,Married,58.49819066,0
192958,51,30,1,F,Single,421.1261475,1
153518,34,15,1,F,Married,367.9259859,1
113255,41,23,1,M,Married,404.4662799,1
177434,63,45,1,M,Married,101.5269237,0
154086,70,52,1,F,Single,320.8710566,1
144431,53,33,1,M,Married,203.9808667,0
152351,25,6,1,F,Married,481.9361346,1
191927,16,0,1,M,Married,333.0519897,1
102450,21,2,1,F,Single,293.2690619,0
112495,68,50,1,M,Single,218.6882265,0
139939,27,9,1,F,Single,430.2106048,1
174931,19,0,1,M,Single,959.6700925,1
134971,57,36,1,F,Single,861.7717368,1
124922,23,5,1,F,Single,523.3410437,1
200235,50,32,1,F,Married,302.1415562,1
172030,60,42,1,F,Single,240.6219433,0
115139,69,52,1,M,Single,152.3553777,0
178501,26,8,1,M,Single,436.3278273,1
144911,41,22,1,F,Married,381.0411775,1
151406,66,47,1,M,Single,73.7182254,0
170150,53,33,1,M,Married,159.1531007,0
159319,29,8,1,F,Single,603.1089156,1
172679,25,6,1,F,Married,496.9800239,1
126506,58,41,1,F,Single,392.0911466,1
138394,20,2,1,F,Single,243.9793541,0
143776,18,0,1,F,Married,273.2499754,0
136845,61,44,1,M,Single,316.5254941,1
170646,41,21,1,F,Married,185.6857913,0
